month_end_date,price,investment_amount,shares_bought,total_shares,total_invested,portfolio_value,portfolio_value_change,portfolio_peak,drawdown,max_drawdown_to_date,cagr,unrealized_gain,portfolio_multiple
1999-03-31,52.46875,500.0,9.529481834425253,9.529481834425253,500.0,500.0,,500.0,0.0,0.0,,0.0,1.0
1999-04-30,53.71875,500.0,9.307737056428156,18.837218890853407,1000.0,1011.9118522930314,511.9118522930314,1011.9118522930314,0.0,0.0,0.1550768413527992,11.911852293031416,1.0119118522930315
1999-05-28,52.03125,500.0,9.60960960960961,28.446828500463017,1500.0,1480.1240454147164,468.212193121685,1480.1240454147164,0.0,0.0,-0.0805694759642942,-19.87595458528358,0.9867493636098109
1999-06-30,57.625,500.0,8.676789587852495,37.12361808831551,2000.0,2139.248492339181,659.1244469244648,2139.248492339181,0.0,0.0,0.31015921116288214,139.2484923391812,1.0696242461695906
1999-07-30,56.59375,500.0,8.83489784649365,45.95851593480916,2500.0,2600.9647611856058,461.71626884642455,2600.9647611856058,0.0,0.0,0.12694324490878373,100.96476118560577,1.0403859044742423
1999-08-31,59.6875,500.0,8.37696335078534,54.335479285594495,3000.0,3243.1489198589215,642.1841586733158,3243.1489198589215,0.0,0.0,0.2044714285134912,243.14891985892154,1.0810496399529739
1999-09-30,60.1875,500.0,8.307372793354102,62.64285207894859,3500.0,3770.3166595017183,527.1677396427967,3770.3166595017183,0.0,0.0,0.16007434924947317,270.3166595017183,1.0772333312862052
1999-10-29,65.75,500.0,7.604562737642586,70.24741481659117,4000.0,4618.76752419087,848.4508646891518,4618.76752419087,0.0,0.0,0.28120681608387854,618.7675241908701,1.1546918810477176
1999-11-30,73.5,500.0,6.802721088435374,77.05013590502655,4500.0,5663.184989019452,1044.4174648285816,5663.184989019452,0.0,0.0,0.4107899977329761,1163.1849890194517,1.2584855531154338
1999-12-31,91.375,500.0,5.471956224350206,82.52209212937676,5000.0,7540.456168321802,1877.27117930235,7540.456168321802,0.0,0.0,0.7257562245739044,2540.4561683218017,1.5080912336643604
2000-01-31,89.6875,500.0,5.574912891986063,88.09700502136282,5500.0,7901.200137853478,360.74396953167616,7901.200137853478,0.0,0.0,0.5409551411388722,2401.200137853478,1.4365818432460868
2000-02-29,106.75,500.0,4.68384074941452,92.78084577077733,6000.0,9904.35528603048,2003.155148177003,9904.35528603048,0.0,0.0,0.7271331150784026,3904.355286030481,1.6507258810050802
2000-03-31,109.5,500.0,4.566210045662101,97.34705581643944,6500.0,10659.502611900118,755.1473258696369,10659.502611900118,0.0,0.0,0.6382454457699884,4159.502611900118,1.6399234787538643
2000-04-28,94.75,500.0,5.277044854881266,102.6241006713207,7000.0,9723.633538607637,-935.8690732924806,10659.502611900118,-0.08779669252556777,-0.08779669252556777,0.3561659729054749,2723.633538607637,1.3890905055153768
2000-05-31,83.125,500.0,6.015037593984962,108.63913826530566,7500.0,9030.628368303533,-693.0051703041045,10659.502611900118,-0.15280959186389553,-0.15280959186389553,0.1721717081327292,1530.6283683035326,1.204083782440471
2000-06-30,93.4375,500.0,5.351170568561873,113.99030883386753,8000.0,10650.969481664497,1620.3411133609643,10659.502611900118,-0.0008005186120123575,-0.15280959186389553,0.2570197070577749,2650.969481664497,1.331371185208062
2000-07-31,89.4375,500.0,5.590496156533892,119.58080499040142,8500.0,10695.008246329027,44.03876466453039,10695.008246329027,0.0,-0.15280959186389553,0.18759071168741825,2195.0082463290273,1.2582362642740033
2000-08-31,101.625,500.0,4.920049200492005,124.50085419089342,9000.0,12652.399307149544,1957.391060820517,12652.399307149544,0.0,-0.15280959186389553,0.27088114432175137,3652.3993071495443,1.4058221452388382
2000-09-29,88.75,500.0,5.633802816901408,130.13465700779483,9500.0,11549.45080944179,-1102.9484977077536,12652.399307149544,-0.08717307057203816,-0.15280959186389553,0.13905428785484464,2049.4508094417906,1.2157316641517675
2000-10-31,81.703125,500.0,6.119716963090457,136.2543739708853,10000.0,11132.408148339988,-417.0426611018029,12652.399307149544,-0.1201346180997187,-0.15280959186389553,0.06988843882767837,1132.4081483399877,1.1132408148339987
2000-11-30,62.984375,500.0,7.938476804763086,144.1928507756484,10500.0,9081.89658557248,-2050.5115627675077,12652.399307149544,-0.2821996551720799,-0.2821996551720799,-0.08320845081605899,-1418.10341442752,0.8649425319592838
2000-12-29,58.375,500.0,8.565310492505354,152.75816126815374,11000.0,8917.257664028475,-164.63892154400492,12652.399307149544,-0.2952121216258514,-0.2952121216258514,-0.11306136407193013,-2082.742335971525,0.8106597876389523
2001-01-31,64.30000305175781,500.0,7.776049397657551,160.5342106658113,11500.0,10322.350235723197,1405.0925716947222,12652.399307149544,-0.1841586733758629,-0.2952121216258514,-0.057028309761166684,-1177.6497642768027,0.8975956726715824
2001-02-28,47.45000076293945,500.0,10.537407628252813,171.0716182940641,12000.0,8117.348418570629,-2205.001817152568,12652.399307149544,-0.35843406285922974,-0.35843406285922974,-0.18450783466362308,-3882.6515814293707,0.6764457015475525
2001-03-30,39.150001525878906,500.0,12.771391583969425,183.84300987803354,12500.0,7197.454117247184,-919.8943013234457,12652.399307149544,-0.4311391900838849,-0.4311391900838849,-0.2413266841249294,-5302.545882752816,0.5757963293797747
2001-04-30,46.150001525878906,500.0,10.834235828131487,194.67724570616502,13000.0,8984.355186393419,1786.9010691462354,12652.399307149544,-0.28990897550027594,-0.4311391900838849,-0.16249228582505038,-4015.644813606581,0.691104245107186
