month_end_date,price,investment_amount,shares_bought,total_shares,total_invested,portfolio_value,portfolio_value_change,portfolio_peak,drawdown,max_drawdown_to_date,cagr,unrealized_gain,portfolio_multiple,tqqq_source
2024-01-31,26.31999969482422,500.0,18.996960706588613,18.996960706588613,500.0,499.99999999999994,,499.99999999999994,0.0,0.0,,-5.684341886080802e-14,0.9999999999999999,actual
2024-02-29,30.18000030517578,500.0,16.56726292061208,35.56422362720069,1000.0,1073.3282799222566,573.3282799222566,1073.3282799222566,0.0,0.0,1.4381672906861445,73.32827992225657,1.0733282799222565,actual
2024-03-28,30.780000686645508,500.0,16.244314127547586,51.80853775474827,1500.0,1594.6668276652515,521.3385477429949,1594.6668276652515,0.0,0.0,0.4801646275563114,94.6668276652515,1.063111218443501,actual
2024-04-30,26.3700008392334,500.0,18.960939859209176,70.76947761395745,2000.0,1866.191184072167,271.52435640691556,1866.191184072167,0.0,0.0,-0.24498992184274926,-133.80881592783294,0.9330955920360835,actual
2024-05-31,31.26499938964844,500.0,15.992323996831598,86.76180161078905,2500.0,2712.607674406119,846.4164903339517,2712.607674406119,0.0,0.0,0.27937503884999115,212.6076744061188,1.0850430697624476,actual
2024-06-28,36.90999984741211,500.0,13.5464644288005,100.30826603958955,3000.0,3702.3780842154238,989.770409809305,3702.3780842154238,0.0,0.0,0.6747455616265385,702.3780842154238,1.2341260280718078,actual
2024-07-31,34.13999938964844,500.0,14.6455772975674,114.95384333715695,3500.0,3924.5241413682807,222.14605715285688,3924.5241413682807,0.0,0.0,0.2582801594997628,424.52414136828065,1.1212926118195088,actual
2024-08-30,34.30500030517578,500.0,14.575134690337324,129.52897802749428,4000.0,4443.491630762298,518.9674893940173,4443.491630762298,0.0,0.0,0.1985951129854704,443.491630762298,1.1108729076905746,actual
2024-09-30,36.244998931884766,500.0,13.795006614282155,143.32398464177643,4500.0,5194.777670254655,751.2860394923573,5194.777670254655,0.0,0.0,0.24085834113236015,694.7776702546553,1.154395037834368,actual
2024-10-31,34.724998474121094,500.0,14.398848724863917,157.72283336664034,5000.0,5476.925147990642,282.1474777359863,5476.925147990642,0.0,0.0,0.1291265469140206,476.92514799064156,1.0953850295981282,actual
2024-11-29,39.94499969482422,500.0,12.517211260982593,170.24004462762295,5500.0,6800.23853069726,1323.3133827066185,6800.23853069726,0.0,0.0,0.2914968066376449,1300.23853069726,1.23640700558132,actual
2024-12-31,39.56499862670898,500.0,12.63743251244465,182.8774771400676,6000.0,7235.547131902777,435.30860120551733,7235.547131902777,0.0,0.0,0.2264826017162107,1235.5471319027774,1.2059245219837962,actual
